index,Datum,Kvalitet,Snittemperatur,Year,Month,day_of_year,Over_10_5_days_in_a_row,0_or_under_5_days_in_a_row
40,1944-02-10,G,-0.53,1944,2,41,0,0
41,1944-02-11,G,0.13,1944,2,42,0,0
42,1944-02-12,G,0.0,1944,2,43,0,0
43,1944-02-13,G,-2.47,1944,2,44,0,0
44,1944-02-14,G,-1.93,1944,2,45,0,0
45,1944-02-15,G,0.87,1944,2,46,0,0
46,1944-02-16,G,-0.13,1944,2,47,0,0
47,1944-02-17,G,-2.0,1944,2,48,0,0
48,1944-02-18,G,-2.33,1944,2,49,0,0
49,1944-02-19,G,-1.6,1944,2,50,0,0
50,1944-02-20,G,-2.67,1944,2,51,0,1
51,1944-02-21,G,0.2,1944,2,52,0,0
52,1944-02-22,G,1.2,1944,2,53,0,0
53,1944-02-23,G,0.8,1944,2,54,0,0
54,1944-02-24,G,-0.47,1944,2,55,0,0
55,1944-02-25,G,1.6,1944,2,56,0,0
56,1944-02-26,G,-1.67,1944,2,57,0,0
57,1944-02-27,G,-2.33,1944,2,58,0,0
58,1944-02-28,G,-2.13,1944,2,59,0,0
59,1944-02-29,G,-3.27,1944,2,60,0,0
60,1944-03-01,G,-0.13,1944,3,61,0,1
61,1944-03-02,G,-0.73,1944,3,62,0,0
62,1944-03-03,G,-2.2,1944,3,63,0,0
63,1944-03-04,G,-0.27,1944,3,64,0,0
64,1944-03-05,G,-1.73,1944,3,65,0,0
65,1944-03-06,G,-0.53,1944,3,66,0,1
66,1944-03-07,G,-0.07,1944,3,67,0,0
67,1944-03-08,G,1.87,1944,3,68,0,0
68,1944-03-09,G,1.27,1944,3,69,0,0
69,1944-03-10,G,4.87,1944,3,70,0,0
70,1944-03-11,G,4.33,1944,3,71,0,0
71,1944-03-12,G,1.67,1944,3,72,0,0
72,1944-03-13,G,0.8,1944,3,73,0,0
73,1944-03-14,G,1.0,1944,3,74,0,0
74,1944-03-15,G,0.67,1944,3,75,0,0
75,1944-03-16,G,0.6,1944,3,76,0,0
76,1944-03-17,G,1.8,1944,3,77,0,0
77,1944-03-18,G,4.0,1944,3,78,0,0
78,1944-03-19,G,3.87,1944,3,79,0,0
79,1944-03-20,G,3.13,1944,3,80,0,0
80,1944-03-21,G,0.4,1944,3,81,0,0
81,1944-03-22,G,-0.13,1944,3,82,0,0
82,1944-03-23,G,2.0,1944,3,83,0,0
83,1944-03-24,G,1.33,1944,3,84,0,0
84,1944-03-25,G,1.07,1944,3,85,0,0
85,1944-03-26,G,2.77,1944,3,86,0,0
86,1944-03-27,G,0.67,1944,3,87,0,0
87,1944-03-28,G,3.2,1944,3,88,0,0
88,1944-03-29,G,-1.4,1944,3,89,0,0
89,1944-03-30,G,-2.2,1944,3,90,0,0
90,1944-03-31,G,-2.2,1944,3,91,0,0
91,1944-04-01,G,-0.67,1944,4,92,0,0
92,1944-04-02,G,-0.07,1944,4,93,0,1
93,1944-04-03,G,2.8,1944,4,94,0,0
94,1944-04-04,G,4.13,1944,4,95,0,0
95,1944-04-05,G,3.8,1944,4,96,0,0
96,1944-04-06,G,2.8,1944,4,97,0,0
97,1944-04-07,G,3.8,1944,4,98,0,0
98,1944-04-08,G,4.87,1944,4,99,0,0
99,1944-04-09,G,6.47,1944,4,100,0,0
100,1944-04-10,G,9.27,1944,4,101,0,0
101,1944-04-11,G,5.93,1944,4,102,0,0
102,1944-04-12,G,6.0,1944,4,103,0,0
103,1944-04-13,G,4.47,1944,4,104,0,0
104,1944-04-14,G,6.73,1944,4,105,0,0
105,1944-04-15,G,8.2,1944,4,106,0,0
106,1944-04-16,G,8.53,1944,4,107,0,0
107,1944-04-17,G,4.73,1944,4,108,0,0
108,1944-04-18,G,5.5,1944,4,109,0,0
109,1944-04-19,G,7.27,1944,4,110,0,0
110,1944-04-20,G,10.2,1944,4,111,0,0
111,1944-04-21,G,7.6,1944,4,112,0,0
112,1944-04-22,G,7.67,1944,4,113,0,0
113,1944-04-23,G,8.47,1944,4,114,0,0
114,1944-04-24,G,7.27,1944,4,115,0,0
115,1944-04-25,G,8.87,1944,4,116,0,0
116,1944-04-26,G,6.8,1944,4,117,0,0
117,1944-04-27,G,8.13,1944,4,118,0,0
118,1944-04-28,G,9.2,1944,4,119,0,0
119,1944-04-29,G,7.07,1944,4,120,0,0
120,1944-04-30,G,6.6,1944,4,121,0,0
121,1944-05-01,G,8.93,1944,5,122,0,0
122,1944-05-02,G,7.0,1944,5,123,0,0
123,1944-05-03,G,8.0,1944,5,124,0,0
124,1944-05-04,G,6.67,1944,5,125,0,0
125,1944-05-05,G,4.33,1944,5,126,0,0
126,1944-05-06,G,3.13,1944,5,127,0,0
127,1944-05-07,G,7.73,1944,5,128,0,0
128,1944-05-08,G,10.2,1944,5,129,0,0
129,1944-05-09,G,9.27,1944,5,130,0,0
130,1944-05-10,G,9.83,1944,5,131,0,0
131,1944-05-11,G,10.47,1944,5,132,0,0
132,1944-05-12,G,10.6,1944,5,133,0,0
133,1944-05-13,G,17.33,1944,5,134,0,0
134,1944-05-14,G,14.47,1944,5,135,0,0
135,1944-05-15,G,7.0,1944,5,136,0,0
136,1944-05-16,G,9.77,1944,5,137,0,0
137,1944-05-17,G,13.4,1944,5,138,0,0
138,1944-05-18,G,15.2,1944,5,139,0,0
139,1944-05-19,G,16.87,1944,5,140,0,0
140,1944-05-20,G,8.13,1944,5,141,0,0
141,1944-05-21,G,9.6,1944,5,142,0,0
142,1944-05-22,G,7.6,1944,5,143,0,0
143,1944-05-23,G,9.27,1944,5,144,0,0
144,1944-05-24,G,9.4,1944,5,145,0,0
145,1944-05-25,G,8.47,1944,5,146,0,0
146,1944-05-26,G,11.07,1944,5,147,0,0
147,1944-05-27,G,12.4,1944,5,148,0,0
148,1944-05-28,G,15.2,1944,5,149,0,0
149,1944-05-29,G,18.1,1944,5,150,0,0
150,1944-05-30,G,17.93,1944,5,151,1,0
151,1944-05-31,G,15.47,1944,5,152,0,0
152,1944-06-01,G,15.67,1944,6,153,0,0
153,1944-06-02,G,10.67,1944,6,154,0,0
154,1944-06-03,G,10.13,1944,6,155,0,0
155,1944-06-04,G,10.33,1944,6,156,1,0
156,1944-06-05,G,13.33,1944,6,157,0,0
157,1944-06-06,G,13.93,1944,6,158,0,0
158,1944-06-07,G,12.33,1944,6,159,0,0
159,1944-06-08,G,14.67,1944,6,160,0,0
160,1944-06-09,G,13.8,1944,6,161,1,0
161,1944-06-10,G,11.8,1944,6,162,0,0
162,1944-06-11,G,12.73,1944,6,163,0,0
163,1944-06-12,G,12.4,1944,6,164,0,0
164,1944-06-13,G,12.93,1944,6,165,0,0
165,1944-06-14,G,12.2,1944,6,166,1,0
166,1944-06-15,G,13.33,1944,6,167,0,0
167,1944-06-16,G,12.53,1944,6,168,0,0
168,1944-06-17,G,15.27,1944,6,169,0,0
169,1944-06-18,G,18.93,1944,6,170,0,0
170,1944-06-19,G,20.13,1944,6,171,1,0
171,1944-06-20,G,19.73,1944,6,172,0,0
172,1944-06-21,G,15.4,1944,6,173,0,0
173,1944-06-22,G,17.0,1944,6,174,0,0
174,1944-06-23,G,13.27,1944,6,175,0,0
175,1944-06-24,G,14.73,1944,6,176,1,0
176,1944-06-25,G,13.87,1944,6,177,0,0
177,1944-06-26,G,16.13,1944,6,178,0,0
178,1944-06-27,G,22.13,1944,6,179,0,0
179,1944-06-28,G,16.47,1944,6,180,0,0
180,1944-06-29,G,16.33,1944,6,181,1,0
181,1944-06-30,G,19.93,1944,6,182,0,0
182,1944-07-01,G,17.4,1944,7,183,0,0
183,1944-07-02,G,17.6,1944,7,184,0,0
184,1944-07-03,G,21.8,1944,7,185,0,0
185,1944-07-04,G,23.93,1944,7,186,1,0
186,1944-07-05,G,25.4,1944,7,187,0,0
187,1944-07-06,G,23.07,1944,7,188,0,0
188,1944-07-07,G,23.8,1944,7,189,0,0
189,1944-07-08,G,26.6,1944,7,190,0,0
190,1944-07-09,G,27.73,1944,7,191,1,0
191,1944-07-10,G,19.53,1944,7,192,0,0
192,1944-07-11,G,18.77,1944,7,193,0,0
193,1944-07-12,G,15.3,1944,7,194,0,0
194,1944-07-13,G,15.43,1944,7,195,0,0
195,1944-07-14,G,14.07,1944,7,196,1,0
196,1944-07-15,G,14.7,1944,7,197,0,0
197,1944-07-16,G,16.3,1944,7,198,0,0
198,1944-07-17,G,19.03,1944,7,199,0,0
199,1944-07-18,G,21.97,1944,7,200,0,0
200,1944-07-19,G,18.23,1944,7,201,1,0
201,1944-07-20,G,16.77,1944,7,202,0,0
202,1944-07-21,G,17.43,1944,7,203,0,0
203,1944-07-22,G,19.37,1944,7,204,0,0
204,1944-07-23,G,20.0,1944,7,205,0,0
205,1944-07-24,G,17.47,1944,7,206,1,0
206,1944-07-25,G,18.97,1944,7,207,0,0
207,1944-07-26,G,18.73,1944,7,208,0,0
208,1944-07-27,G,16.4,1944,7,209,0,0
209,1944-07-28,G,19.53,1944,7,210,0,0
210,1944-07-29,G,19.57,1944,7,211,1,0
211,1944-07-30,G,19.33,1944,7,212,0,0
212,1944-07-31,G,22.47,1944,7,213,0,0
213,1944-08-01,G,19.8,1944,8,214,0,0
214,1944-08-02,G,22.67,1944,8,215,0,0
215,1944-08-03,G,22.77,1944,8,216,1,0
216,1944-08-04,G,21.87,1944,8,217,0,0
217,1944-08-05,G,22.13,1944,8,218,0,0
218,1944-08-06,G,21.47,1944,8,219,0,0
219,1944-08-07,G,21.37,1944,8,220,0,0
220,1944-08-08,G,23.2,1944,8,221,1,0
221,1944-08-09,G,19.67,1944,8,222,0,0
222,1944-08-10,G,18.07,1944,8,223,0,0
223,1944-08-11,G,19.87,1944,8,224,0,0
224,1944-08-12,G,18.37,1944,8,225,0,0
225,1944-08-13,G,17.0,1944,8,226,1,0
226,1944-08-14,G,17.17,1944,8,227,0,0
227,1944-08-15,G,15.83,1944,8,228,0,0
228,1944-08-16,G,17.37,1944,8,229,0,0
229,1944-08-17,G,18.67,1944,8,230,0,0
230,1944-08-18,G,19.0,1944,8,231,1,0
231,1944-08-19,G,22.83,1944,8,232,0,0
232,1944-08-20,G,24.47,1944,8,233,0,0
233,1944-08-21,G,18.07,1944,8,234,0,0
234,1944-08-22,G,19.8,1944,8,235,0,0
235,1944-08-23,G,20.2,1944,8,236,1,0
236,1944-08-24,G,22.6,1944,8,237,0,0
237,1944-08-25,G,23.1,1944,8,238,0,0
238,1944-08-26,G,18.73,1944,8,239,0,0
239,1944-08-27,G,17.8,1944,8,240,0,0
240,1944-08-28,G,19.6,1944,8,241,1,0
241,1944-08-29,G,15.47,1944,8,242,0,0
242,1944-08-30,G,15.33,1944,8,243,0,0
243,1944-08-31,G,15.07,1944,8,244,0,0
244,1944-09-01,G,14.67,1944,9,245,0,0
245,1944-09-02,G,15.03,1944,9,246,1,0
246,1944-09-03,G,12.63,1944,9,247,0,0
247,1944-09-04,G,13.4,1944,9,248,0,0
248,1944-09-05,G,15.47,1944,9,249,0,0
249,1944-09-06,G,14.47,1944,9,250,0,0
250,1944-09-07,G,13.73,1944,9,251,1,0
251,1944-09-08,G,13.93,1944,9,252,0,0
252,1944-09-09,G,11.53,1944,9,253,0,0
253,1944-09-10,G,11.17,1944,9,254,0,0
254,1944-09-11,G,13.53,1944,9,255,0,0
255,1944-09-12,G,14.0,1944,9,256,1,0
256,1944-09-13,G,14.03,1944,9,257,0,0
257,1944-09-14,G,14.1,1944,9,258,0,0
258,1944-09-15,G,14.07,1944,9,259,0,0
259,1944-09-16,G,16.0,1944,9,260,0,0
260,1944-09-17,G,14.27,1944,9,261,1,0
261,1944-09-18,G,14.33,1944,9,262,0,0
262,1944-09-19,G,14.2,1944,9,263,0,0
263,1944-09-20,G,14.73,1944,9,264,0,0
264,1944-09-21,G,16.47,1944,9,265,0,0
265,1944-09-22,G,13.8,1944,9,266,1,0
266,1944-09-23,G,14.8,1944,9,267,0,0
267,1944-09-24,G,12.0,1944,9,268,0,0
268,1944-09-25,G,9.23,1944,9,269,0,0
269,1944-09-26,G,11.87,1944,9,270,0,0
270,1944-09-27,G,10.83,1944,9,271,0,0
271,1944-09-28,G,11.47,1944,9,272,0,0
272,1944-09-29,G,11.33,1944,9,273,0,0
273,1944-09-30,G,11.6,1944,9,274,1,0
274,1944-10-01,G,10.67,1944,10,275,0,0
275,1944-10-02,G,8.73,1944,10,276,0,0
276,1944-10-03,G,8.6,1944,10,277,0,0
277,1944-10-04,G,10.0,1944,10,278,0,0
278,1944-10-05,G,8.8,1944,10,279,0,0
279,1944-10-06,G,9.33,1944,10,280,0,0
280,1944-10-07,G,11.93,1944,10,281,0,0
281,1944-10-08,G,10.87,1944,10,282,0,0
282,1944-10-09,G,9.93,1944,10,283,0,0
283,1944-10-10,G,9.2,1944,10,284,0,0
284,1944-10-11,G,12.27,1944,10,285,0,0
285,1944-10-12,G,12.2,1944,10,286,0,0
286,1944-10-13,G,13.0,1944,10,287,0,0
287,1944-10-14,G,10.93,1944,10,288,0,0
288,1944-10-15,G,10.33,1944,10,289,1,0
289,1944-10-16,G,9.87,1944,10,290,0,0
290,1944-10-17,G,11.07,1944,10,291,0,0
291,1944-10-18,G,10.47,1944,10,292,0,0
292,1944-10-19,G,9.2,1944,10,293,0,0
293,1944-10-20,G,8.93,1944,10,294,0,0
294,1944-10-21,G,9.27,1944,10,295,0,0
295,1944-10-22,G,6.53,1944,10,296,0,0
296,1944-10-23,G,7.3,1944,10,297,0,0
297,1944-10-24,G,9.77,1944,10,298,0,0
298,1944-10-25,G,8.97,1944,10,299,0,0
299,1944-10-26,G,6.13,1944,10,300,0,0
300,1944-10-27,G,6.27,1944,10,301,0,0
301,1944-10-28,G,6.67,1944,10,302,0,0
302,1944-10-29,G,5.33,1944,10,303,0,0
303,1944-10-30,G,7.07,1944,10,304,0,0
304,1944-10-31,G,6.2,1944,10,305,0,0
305,1944-11-01,G,1.8,1944,11,306,0,0
306,1944-11-02,G,5.0,1944,11,307,0,0
307,1944-11-03,G,5.13,1944,11,308,0,0
308,1944-11-04,G,6.57,1944,11,309,0,0
309,1944-11-05,G,10.27,1944,11,310,0,0
310,1944-11-06,G,7.4,1944,11,311,0,0
311,1944-11-07,G,4.53,1944,11,312,0,0
312,1944-11-08,G,3.33,1944,11,313,0,0
313,1944-11-09,G,1.73,1944,11,314,0,0
314,1944-11-10,G,1.6,1944,11,315,0,0
315,1944-11-11,G,1.2,1944,11,316,0,0
316,1944-11-12,G,5.0,1944,11,317,0,0
317,1944-11-13,G,4.87,1944,11,318,0,0
318,1944-11-14,G,3.0,1944,11,319,0,0
319,1944-11-15,G,3.63,1944,11,320,0,0
320,1944-11-16,G,1.37,1944,11,321,0,0
321,1944-11-17,G,-0.9,1944,11,322,0,0
322,1944-11-18,G,0.73,1944,11,323,0,0
323,1944-11-19,G,4.67,1944,11,324,0,0
324,1944-11-20,G,8.33,1944,11,325,0,0
325,1944-11-21,G,1.0,1944,11,326,0,0
326,1944-11-22,G,-0.8,1944,11,327,0,0
327,1944-11-23,G,1.47,1944,11,328,0,0
328,1944-11-24,G,6.23,1944,11,329,0,0
329,1944-11-25,G,3.4,1944,11,330,0,0
330,1944-11-26,G,3.03,1944,11,331,0,0
331,1944-11-27,G,0.0,1944,11,332,0,0
332,1944-11-28,G,1.67,1944,11,333,0,0
333,1944-11-29,G,4.93,1944,11,334,0,0
334,1944-11-30,G,5.97,1944,11,335,0,0
335,1944-12-01,G,5.93,1944,12,336,0,0
336,1944-12-02,G,5.43,1944,12,337,0,0
337,1944-12-03,G,3.6,1944,12,338,0,0
338,1944-12-04,G,0.67,1944,12,339,0,0
339,1944-12-05,G,2.07,1944,12,340,0,0
340,1944-12-06,G,2.2,1944,12,341,0,0
341,1944-12-07,G,2.13,1944,12,342,0,0
342,1944-12-08,G,3.27,1944,12,343,0,0
343,1944-12-09,G,0.53,1944,12,344,0,0
344,1944-12-10,G,1.13,1944,12,345,0,0
345,1944-12-11,G,2.13,1944,12,346,0,0
346,1944-12-12,G,1.13,1944,12,347,0,0
347,1944-12-13,G,0.13,1944,12,348,0,0
348,1944-12-14,G,1.33,1944,12,349,0,0
349,1944-12-15,G,-1.27,1944,12,350,0,0
350,1944-12-16,G,-2.67,1944,12,351,0,0
351,1944-12-17,G,1.3,1944,12,352,0,0
352,1944-12-18,G,3.67,1944,12,353,0,0
353,1944-12-19,G,3.73,1944,12,354,0,0
354,1944-12-20,G,2.67,1944,12,355,0,0
355,1944-12-21,G,0.87,1944,12,356,0,0
356,1944-12-22,G,0.27,1944,12,357,0,0
357,1944-12-23,G,3.0,1944,12,358,0,0
358,1944-12-24,G,4.73,1944,12,359,0,0
359,1944-12-25,G,5.27,1944,12,360,0,0
360,1944-12-26,G,4.0,1944,12,361,0,0
361,1944-12-27,G,3.87,1944,12,362,0,0
362,1944-12-28,G,0.0,1944,12,363,0,0
363,1944-12-29,G,0.07,1944,12,364,0,0
364,1944-12-30,G,3.27,1944,12,365,0,0
365,1944-12-31,G,-2.2,1944,12,366,0,0
366,1945-01-01,G,-2.33,1945,1,1,0,0
367,1945-01-02,G,5.13,1945,1,2,0,0
368,1945-01-03,G,3.73,1945,1,3,0,0
369,1945-01-04,G,-1.73,1945,1,4,0,0
370,1945-01-05,G,-2.93,1945,1,5,0,0
371,1945-01-06,G,0.73,1945,1,6,0,0
372,1945-01-07,G,1.3,1945,1,7,0,0
373,1945-01-08,G,-0.8,1945,1,8,0,0
374,1945-01-09,G,-0.8,1945,1,9,0,0
375,1945-01-10,G,0.27,1945,1,10,0,0
376,1945-01-11,G,-0.27,1945,1,11,0,0
377,1945-01-12,G,1.4,1945,1,12,0,0
378,1945-01-13,G,-1.6,1945,1,13,0,0
379,1945-01-14,G,3.13,1945,1,14,0,0
380,1945-01-15,G,-2.2,1945,1,15,0,0
381,1945-01-16,G,-1.27,1945,1,16,0,0
382,1945-01-17,G,1.33,1945,1,17,0,0
383,1945-01-18,G,-1.07,1945,1,18,0,0
384,1945-01-19,G,0.6,1945,1,19,0,0
385,1945-01-20,G,-1.33,1945,1,20,0,0
386,1945-01-21,G,-2.2,1945,1,21,0,0
387,1945-01-22,G,-4.27,1945,1,22,0,0
388,1945-01-23,G,-7.6,1945,1,23,0,0
389,1945-01-24,G,-5.07,1945,1,24,0,1
390,1945-01-25,G,-4.2,1945,1,25,0,0
391,1945-01-26,G,-3.8,1945,1,26,0,0
392,1945-01-27,G,-3.73,1945,1,27,0,0
393,1945-01-28,G,-6.87,1945,1,28,0,0
394,1945-01-29,G,-10.47,1945,1,29,0,1
395,1945-01-30,G,-10.93,1945,1,30,0,0
396,1945-01-31,G,-5.13,1945,1,31,0,0
397,1945-02-01,G,-4.2,1945,2,32,0,0
398,1945-02-02,G,-3.6,1945,2,33,0,0
399,1945-02-03,G,-3.47,1945,2,34,0,1
400,1945-02-04,G,-8.47,1945,2,35,0,0
401,1945-02-05,G,-5.1,1945,2,36,0,0
402,1945-02-06,G,-0.13,1945,2,37,0,0
403,1945-02-07,G,1.4,1945,2,38,0,0
404,1945-02-08,G,1.77,1945,2,39,0,0
405,1945-02-09,G,2.27,1945,2,40,0,0
406,1945-02-10,G,0.67,1945,2,41,0,0
407,1945-02-11,G,-0.27,1945,2,42,0,0
408,1945-02-12,G,-1.13,1945,2,43,0,0
409,1945-02-13,G,-1.27,1945,2,44,0,0
410,1945-02-14,G,-1.57,1945,2,45,0,0
411,1945-02-15,G,0.53,1945,2,46,0,0
412,1945-02-16,G,-0.53,1945,2,47,0,0
413,1945-02-17,G,-2.53,1945,2,48,0,0
414,1945-02-18,G,-1.13,1945,2,49,0,0
415,1945-02-19,G,0.07,1945,2,50,0,0
416,1945-02-20,G,0.7,1945,2,51,0,0
417,1945-02-21,G,1.6,1945,2,52,0,0
418,1945-02-22,G,2.53,1945,2,53,0,0
419,1945-02-23,G,2.0,1945,2,54,0,0
420,1945-02-24,G,2.2,1945,2,55,0,0
421,1945-02-25,G,3.03,1945,2,56,0,0
422,1945-02-26,G,1.67,1945,2,57,0,0
423,1945-02-27,G,4.2,1945,2,58,0,0
424,1945-02-28,G,5.5,1945,2,59,0,0
425,1945-03-01,G,4.2,1945,3,60,0,0
426,1945-03-02,G,4.07,1945,3,61,0,0
427,1945-03-03,G,1.93,1945,3,62,0,0
428,1945-03-04,G,0.6,1945,3,63,0,0
429,1945-03-05,G,0.93,1945,3,64,0,0
430,1945-03-06,G,0.0,1945,3,65,0,0
431,1945-03-07,G,-1.23,1945,3,66,0,0
432,1945-03-08,G,-0.07,1945,3,67,0,0
433,1945-03-09,G,2.07,1945,3,68,0,0
434,1945-03-10,G,7.53,1945,3,69,0,0
435,1945-03-11,G,2.93,1945,3,70,0,0
436,1945-03-12,G,0.53,1945,3,71,0,0
437,1945-03-13,G,5.23,1945,3,72,0,0
438,1945-03-14,G,4.33,1945,3,73,0,0
439,1945-03-15,G,4.63,1945,3,74,0,0
440,1945-03-16,G,6.0,1945,3,75,0,0
441,1945-03-17,G,2.33,1945,3,76,0,0
442,1945-03-18,G,2.6,1945,3,77,0,0
443,1945-03-19,G,2.33,1945,3,78,0,0
444,1945-03-20,G,5.73,1945,3,79,0,0
445,1945-03-21,G,7.67,1945,3,80,0,0
446,1945-03-22,G,5.47,1945,3,81,0,0
447,1945-03-23,G,6.2,1945,3,82,0,0
448,1945-03-24,G,9.6,1945,3,83,0,0
449,1945-03-25,G,12.73,1945,3,84,0,0
450,1945-03-26,G,9.93,1945,3,85,0,0
451,1945-03-27,G,10.03,1945,3,86,0,0
452,1945-03-28,G,6.2,1945,3,87,0,0
453,1945-03-29,G,6.67,1945,3,88,0,0
454,1945-03-30,G,6.0,1945,3,89,0,0
455,1945-03-31,G,6.57,1945,3,90,0,0
456,1945-04-01,G,7.43,1945,4,91,0,0
457,1945-04-02,G,6.4,1945,4,92,0,0
458,1945-04-03,G,6.0,1945,4,93,0,0
459,1945-04-04,G,6.83,1945,4,94,0,0
460,1945-04-05,G,6.37,1945,4,95,0,0
461,1945-04-06,G,7.6,1945,4,96,0,0
462,1945-04-07,G,5.2,1945,4,97,0,0
463,1945-04-08,G,7.47,1945,4,98,0,0
464,1945-04-09,G,10.43,1945,4,99,0,0
465,1945-04-10,G,11.0,1945,4,100,0,0
466,1945-04-11,G,6.73,1945,4,101,0,0
467,1945-04-12,G,6.7,1945,4,102,0,0
468,1945-04-13,G,6.2,1945,4,103,0,0
469,1945-04-14,G,5.8,1945,4,104,0,0
470,1945-04-15,G,6.87,1945,4,105,0,0
471,1945-04-16,G,8.03,1945,4,106,0,0
472,1945-04-17,G,10.63,1945,4,107,0,0
473,1945-04-18,G,9.87,1945,4,108,0,0
474,1945-04-19,G,11.03,1945,4,109,0,0
475,1945-04-20,G,8.6,1945,4,110,0,0
476,1945-04-21,G,7.6,1945,4,111,0,0
477,1945-04-22,G,6.13,1945,4,112,0,0
478,1945-04-23,G,8.33,1945,4,113,0,0
479,1945-04-24,G,9.8,1945,4,114,0,0
480,1945-04-25,G,8.33,1945,4,115,0,0
481,1945-04-26,G,7.73,1945,4,116,0,0
482,1945-04-27,G,9.27,1945,4,117,0,0
483,1945-04-28,G,7.57,1945,4,118,0,0
484,1945-04-29,G,4.1,1945,4,119,0,0
485,1945-04-30,G,5.9,1945,4,120,0,0
486,1945-05-01,G,5.07,1945,5,121,0,0
487,1945-05-02,G,5.1,1945,5,122,0,0
488,1945-05-03,G,6.1,1945,5,123,0,0
489,1945-05-04,G,8.87,1945,5,124,0,0
490,1945-05-05,G,7.8,1945,5,125,0,0
491,1945-05-06,G,9.27,1945,5,126,0,0
492,1945-05-07,G,10.8,1945,5,127,0,0
493,1945-05-08,G,12.93,1945,5,128,0,0
494,1945-05-09,G,14.93,1945,5,129,0,0
495,1945-05-10,G,9.03,1945,5,130,0,0
496,1945-05-11,G,12.33,1945,5,131,0,0
497,1945-05-12,G,13.4,1945,5,132,0,0
498,1945-05-13,G,17.27,1945,5,133,0,0
499,1945-05-14,G,10.6,1945,5,134,0,0
500,1945-05-15,G,11.0,1945,5,135,1,0
501,1945-05-16,G,11.47,1945,5,136,0,0
502,1945-05-17,G,11.67,1945,5,137,0,0
503,1945-05-18,G,11.4,1945,5,138,0,0
504,1945-05-19,G,13.53,1945,5,139,0,0
505,1945-05-20,G,16.13,1945,5,140,1,0
506,1945-05-21,G,16.93,1945,5,141,0,0
507,1945-05-22,G,16.57,1945,5,142,0,0
508,1945-05-23,G,8.9,1945,5,143,0,0
509,1945-05-24,G,9.03,1945,5,144,0,0
510,1945-05-25,G,10.87,1945,5,145,0,0
511,1945-05-26,G,11.9,1945,5,146,0,0
512,1945-05-27,G,11.27,1945,5,147,0,0
513,1945-05-28,G,14.73,1945,5,148,0,0
514,1945-05-29,G,17.67,1945,5,149,1,0
515,1945-05-30,G,14.2,1945,5,150,0,0
516,1945-05-31,G,14.6,1945,5,151,0,0
517,1945-06-01,G,14.8,1945,6,152,0,0
518,1945-06-02,G,16.87,1945,6,153,0,0
519,1945-06-03,G,15.87,1945,6,154,1,0
520,1945-06-04,G,14.53,1945,6,155,0,0
521,1945-06-05,G,11.63,1945,6,156,0,0
522,1945-06-06,G,13.83,1945,6,157,0,0
523,1945-06-07,G,15.13,1945,6,158,0,0
524,1945-06-08,G,15.8,1945,6,159,1,0
525,1945-06-09,G,14.27,1945,6,160,0,0
526,1945-06-10,G,13.67,1945,6,161,0,0
527,1945-06-11,G,14.0,1945,6,162,0,0
528,1945-06-12,G,13.4,1945,6,163,0,0
529,1945-06-13,G,14.33,1945,6,164,1,0
